,match_id,league,season,year,team_name,red_or_blue_side,result,game_length,top_player,top_champ,jungle_player,jungle_champ,mid_player,mid_champ,adc_player,adc_champ,support_player,support_champ,ban_1,ban_2,ban_3,ban_4,ban_5
0,001a1f289e3bab22,LCK,Summer_Season,2015,ANC,blue,0,38,ikssu,Hecarim,lira,Gragas,Mickey,Vladimir,Sangyoon,Sivir,SnowFlower,Morgana,'Azir', 'Shyvana', 'Jayce',,
1,001a1f289e3bab22,LCK,Summer_Season,2015,CJE,red,1,38,Shy,Rumble,Ambition,Sejuani,Coco,Cassiopeia,Space,Jinx,Thresh,MadLife,'Zed', 'Gnar', 'Kalista',,
2,001f50c8547e2e73,Season_World_Championship,International,2014,EDG,blue,1,37,Koro1,Maokai,Clearlove,Rengar,U,Zed,NaMei,Twitch,Fzzf,Thresh,'Fizz', 'LeeSin', 'TwistedFate',,
3,001f50c8547e2e73,Season_World_Championship,International,2014,AHQ,red,0,37,Prydz,Nidalee,NAZ,Khazix,westdoor,Talon,GarnetDevil,Lucian,Blitzcrank,GreenTea,'Ryze', 'Zilean', 'Alistar',,
4,002f613ae09ad421,LMS,Spring_Season,2016,TPA,blue,1,30,Morning,Trundle,REFRA1N,RekSai,FoFo,Lissandra,BeBe,Lucian,Jay,Alistar,'Corki', 'Gangplank', 'TahmKench',,
5,002f613ae09ad421,LMS,Spring_Season,2016,XG,red,0,30,Nexus,Sion,Yo,Elise,SuwaKo,Ezreal,LBB,Kalista,Poppy,SuKi,'Lulu', 'Fiora', 'Ryze',,
7,003aefd58000cbd6,LCK,Spring_Season,2016,JAG,blue,0,42,TrAce,Ekko,Winged,Graves,Kuzan,Lissandra,Pilot,Kalista,Chei,Kennen,'Jayce', 'Varus', 'Alistar',,
6,003aefd58000cbd6,LCK,Spring_Season,2016,LZ,red,1,42,Expession,Fiora,Chaser,Elise,Coco,Corki,Cpt Jack,Lucian,Braum,Pure,'Sivir', 'Azir', 'Ryze',,
9,003dba1358cd918a,Europe,Summer_Season,2015,EL,blue,1,39,Jwaow,Hecarim,Dexter,Gragas,Froggen,Vladimir,Tabzz,Sivir,promisQ,Alistar,'Azir', 'Rumble', 'Jayce',,
8,003dba1358cd918a,Europe,Summer_Season,2015,ROC,red,0,39,Steve,Fizz,Jankos,RekSai,nukeduck,Lulu,MrRalleZ,Corki,Bard,Vander,'Kalista', 'Ekko', 'Ryze',,
11,005a9b7b25ee9ac5,North_America,Spring_Season,2016,C9,blue,1,30,Balls,Poppy,Rush,Nunu,Jensen,Orianna,Sneaky,Kalista,Hai,Morgana,'Corki', 'Elise', 'Graves',,
10,005a9b7b25ee9ac5,North_America,Spring_Season,2016,NRG,red,0,30,Impact,Gangplank,Moon,RekSai,GBM,Zilean,Altec,Lucian,Janna,KonKwon,'Alistar', 'Nidalee', 'Ryze',,
12,0073b31255641f6c,Europe,Spring_Playoffs,2016,H2K,blue,1,29,Odoamne,Maokai,Jankos,Kindred,Ryu,Lissandra,FORG1VENGRE,Corki,Vander,Alistar,'Zed', 'Ekko', 'Azir',,
13,0073b31255641f6c,Europe,Spring_Playoffs,2016,FNC,red,0,29,Gamsu,Gragas,Spirit,Graves,Febiven,Kassadin,Rekkles,Ezreal,Braum,Klaj,'Nidalee', 'Lucian', 'Ryze',,
14,0076dde983f72733,North_America,Spring_Playoffs,2016,C9,blue,0,31,Balls,Gangplank,Rush,Kindred,Jensen,Orianna,Sneaky,Jhin,Hai,Braum,'Graves', 'Poppy', 'Gragas',,
15,0076dde983f72733,North_America,Spring_Playoffs,2016,TSM,red,1,31,Hauntzer,Maokai,Svenskeren,Elise,Bjergsen,Zed,Doublelift,Corki,Janna,Yellowstar,'Nidalee', 'TwistedFate', 'LeeSin',,
17,00986b51908a63c3,LCK,Summer_Season,2016,SKT,blue,1,69,Duke,Trundle,Blank,Gragas,Faker,Viktor,Bang,Jhin,Wolf,TahmKench,'Vladimir', 'Gangplank', 'Lissandra',,
16,00986b51908a63c3,LCK,Summer_Season,2016,JAG,red,0,69,TrAce,Shen,Winged,LeeSin,Kuzan,Leblanc,Pilot,Sivir,Alistar,Sweet,'Taliyah', 'Malzahar', 'Ashe',,
18,00a7858e986c8d87,North_America,Spring_Season,2015,T8,blue,1,46,CaliTrlolz8,Jax,Porpoise8,JarvanIV,Slooshi8,Kassadin,Maplestreet8,Graves,Dodo8,Morgana,'Janna', 'Rumble',,,
19,00a7858e986c8d87,North_America,Spring_Season,2015,CST,red,0,46,Cris,Gnar,Impaler,RekSai,Jesiz,Ahri,Mash,Corki,Thresh,Sheep,'Nocturne', 'Sivir', 'Irelia',,
20,00bad4da4d94bdbf,North_America,Summer_Season,2015,CLG,blue,1,49,ZionSpartan,Gnar,Xmithie,Nunu,Pobelter,Azir,Doublelift,Sivir,aphromoo,Bard,'Irelia', 'Gragas', 'Alistar',,
21,00bad4da4d94bdbf,North_America,Summer_Season,2015,NME,red,0,49,Flaresz,Hecarim,Trashy,RekSai,Innox,Xerath,otter,Vayne,Janna,Bodydrop,'Kalista', 'Ryze', 'Ekko',,
22,00c7bcac9e02c63a,Europe,Summer_Season,2015,OG,blue,1,28,Soaz,Rumble,Amazing,Gragas,xPeke,Leblanc,Niels,Vayne,Mithy,Annie,'Ashe', 'RekSai', 'Thresh',,
23,00c7bcac9e02c63a,Europe,Summer_Season,2015,H2K,red,0,28,Odoamne,Maokai,loulex,Evelynn,Ryu,Kassadin,Hjarnan,Sivir,Janna,kaSing,'Alistar', 'Kalista', 'Urgot',,
