,match_id,team_name,player,kills,deaths,assists,kda_ratio
0,001a1f289e3bab22,ANC,SnowFlower,1,4,6,1.75
1,001a1f289e3bab22,ANC,ikssu,1,3,4,1.6666666667
2,001a1f289e3bab22,ANC,lira,1,7,6,1
3,001a1f289e3bab22,CJE,Ambition,4,2,12,8
4,001a1f289e3bab22,CJE,Coco,8,2,10,9
5,001a1f289e3bab22,CJE,MadLife,2,2,16,9
6,001a1f289e3bab22,CJE,Shy,2,2,10,6
7,001a1f289e3bab22,CJE,Space,7,2,8,7.5
8,001f50c8547e2e73,AHQ,GarnetDevil,3,5,4,1.4
9,001f50c8547e2e73,AHQ,NAZ,1,5,3,0.8
10,001f50c8547e2e73,AHQ,Prydz,3,7,5,1.1428571429
11,001f50c8547e2e73,AHQ,westdoor,2,7,4,0.8571428571
12,001f50c8547e2e73,EDG,Clearlove,7,2,10,8.5
13,001f50c8547e2e73,EDG,Koro1,5,4,15,5
14,001f50c8547e2e73,EDG,NaMei,5,0,11,16
15,001f50c8547e2e73,EDG,U,8,1,7,15
16,002f613ae09ad421,TPA,BeBe,3,0,6,9
17,002f613ae09ad421,TPA,FoFo,6,0,4,10
18,002f613ae09ad421,TPA,Morning,1,0,5,6
19,002f613ae09ad421,TPA,REFRA1N,3,0,7,10
20,003aefd58000cbd6,JAG,Chei,1,4,4,1.25
21,003aefd58000cbd6,JAG,Kuzan,3,3,3,2
22,003aefd58000cbd6,JAG,Pilot,2,2,3,2.5
23,003aefd58000cbd6,JAG,TrAce,0,4,1,0.25
24,003aefd58000cbd6,JAG,Winged,1,1,2,3
25,003aefd58000cbd6,LZ,Chaser,4,1,5,9
26,003aefd58000cbd6,LZ,Cpt Jack,1,1,7,8
27,003aefd58000cbd6,LZ,Expession,4,1,5,9
28,003aefd58000cbd6,LZ,Pure,1,2,9,5
29,003dba1358cd918a,EL,Dexter,1,0,6,7
30,003dba1358cd918a,EL,Jwaow,2,0,8,10
31,003dba1358cd918a,ROC,Jankos,1,3,1,0.6666666667
32,003dba1358cd918a,ROC,Steve,0,4,1,0.25
33,005a9b7b25ee9ac5,C9,Balls,1,0,8,9
34,005a9b7b25ee9ac5,C9,Rush,0,2,13,6.5
35,005a9b7b25ee9ac5,NRG,Impact,1,1,2,3
36,005a9b7b25ee9ac5,NRG,Moon,0,5,2,0.4
37,0073b31255641f6c,FNC,Febiven,3,1,3,6
38,0073b31255641f6c,FNC,Rekkles,2,0,5,7
39,0073b31255641f6c,FNC,Spirit,1,4,5,1.5
40,0073b31255641f6c,H2K,Odoamne,0,1,9,9
41,0073b31255641f6c,H2K,Ryu,2,1,7,9
42,0076dde983f72733,C9,Balls,0,3,1,0.3333333333
43,0076dde983f72733,C9,Jensen,1,3,1,0.6666666667
44,0076dde983f72733,C9,Rush,3,7,1,0.5714285714
45,0076dde983f72733,C9,Sneaky,0,5,1,0.2
46,0076dde983f72733,TSM,Bjergsen,11,0,6,17
47,0076dde983f72733,TSM,Doublelift,6,0,8,14
48,0076dde983f72733,TSM,Hauntzer,3,1,8,11
49,0076dde983f72733,TSM,Svenskeren,3,1,7,10
50,0076dde983f72733,TSM,Yellowstar,0,2,16,8
51,00986b51908a63c3,JAG,Kuzan,7,4,8,3.75
52,00986b51908a63c3,JAG,Pilot,5,6,10,2.5
53,00986b51908a63c3,JAG,TrAce,1,5,13,2.8
54,00986b51908a63c3,JAG,Winged,5,2,12,8.5
55,00986b51908a63c3,SKT,Blank,1,3,18,6.3333333333
56,00986b51908a63c3,SKT,Duke,4,3,11,5
57,00a7858e986c8d87,CST,Cris,3,3,9,4
58,00a7858e986c8d87,CST,Impaler,1,3,8,3
59,00a7858e986c8d87,T8,CaliTrlolz8,5,4,3,2
60,00a7858e986c8d87,T8,Dodo8,0,3,11,3.6666666667
61,00a7858e986c8d87,T8,Maplestreet8,5,2,5,5
62,00a7858e986c8d87,T8,Porpoise8,2,2,9,5.5
63,00a7858e986c8d87,T8,Slooshi8,4,3,5,3
64,00bad4da4d94bdbf,CLG,Xmithie,1,3,16,5.6666666667
65,00bad4da4d94bdbf,CLG,ZionSpartan,3,3,12,5
66,00bad4da4d94bdbf,NME,Flaresz,2,7,7,1.2857142857
67,00bad4da4d94bdbf,NME,Innox,4,2,5,4.5
68,00bad4da4d94bdbf,NME,Trashy,1,2,10,5.5
69,00c7bcac9e02c63a,H2K,Hjarnan,3,4,2,1.25
70,00c7bcac9e02c63a,H2K,Odoamne,0,4,2,0.5
71,00c7bcac9e02c63a,H2K,kaSing,1,2,3,2
72,00c7bcac9e02c63a,H2K,loulex,1,8,2,0.375
73,00c7bcac9e02c63a,OG,Amazing,3,0,9,12
74,00c7bcac9e02c63a,OG,Niels,7,0,8,15
75,00c7bcac9e02c63a,OG,Soaz,4,3,9,4.3333333333
76,00c7bcac9e02c63a,OG,xPeke,5,1,6,11
77,00df84280ed2625b,HKE,Dinter,3,3,5,2.6666666667
78,00df84280ed2625b,HKE,Gear,4,5,2,1.2
79,00df84280ed2625b,HKE,MapleSnow,3,6,3,1
80,00df84280ed2625b,HKE,Raison,0,5,6,1.2
81,00df84280ed2625b,JT,BeBe,5,3,13,6
82,00df84280ed2625b,JT,Morning,9,2,9,9
83,00df84280ed2625b,JT,REFRA1N,3,1,15,18
84,00e4eb2c47c14065,G2,Expect,4,1,4,8
85,00e4eb2c47c14065,G2,Perkz,7,1,3,10
