,match_id,red_or_blue_side,team_name,kills,deaths,assists,kda_ratio
0,001a1f289e3bab22,Blue,ANC,10.0,23.0,24.0,1.4782608695652173
1,001a1f289e3bab22,Red,CJE,23.0,10.0,56.0,7.9
2,001f50c8547e2e73,Blue,EDG,28.0,10.0,60.0,8.8
3,001f50c8547e2e73,Red,AHQ,10.0,28.0,23.0,1.1785714285714286
4,002f613ae09ad421,Blue,TPA,13.0,0.0,30.0,43.0
5,003aefd58000cbd6,Blue,JAG,7.0,14.0,13.0,1.4285714285714286
6,003aefd58000cbd6,Red,LZ,14.0,7.0,26.0,5.714285714285714
7,003dba1358cd918a,Blue,EL,11.0,2.0,37.0,24.0
8,003dba1358cd918a,Red,ROC,2.0,11.0,6.0,0.7272727272727273
9,005a9b7b25ee9ac5,Blue,C9,14.0,3.0,43.0,19.0
10,005a9b7b25ee9ac5,Red,NRG,3.0,14.0,9.0,0.8571428571428571
11,0073b31255641f6c,Blue,H2K,11.0,7.0,36.0,6.714285714285714
12,0073b31255641f6c,Red,FNC,7.0,11.0,20.0,2.4545454545454546
13,0076dde983f72733,Blue,C9,4.0,23.0,5.0,0.391304347826087
14,0076dde983f72733,Red,TSM,23.0,4.0,45.0,17.0
15,00986b51908a63c3,Blue,SKT,24.0,21.0,55.0,3.761904761904762
16,00986b51908a63c3,Red,JAG,21.0,24.0,55.0,3.1666666666666665
17,00a7858e986c8d87,Blue,T8,16.0,14.0,33.0,3.5
18,00a7858e986c8d87,Red,CST,14.0,16.0,37.0,3.1875
19,00bad4da4d94bdbf,Blue,CLG,19.0,15.0,53.0,4.8
20,00bad4da4d94bdbf,Red,NME,15.0,19.0,36.0,2.6842105263157894
21,00c7bcac9e02c63a,Blue,OG,20.0,6.0,43.0,10.5
22,00c7bcac9e02c63a,Red,H2K,6.0,20.0,9.0,0.75
23,00df84280ed2625b,Blue,HKE,10.0,23.0,22.0,1.391304347826087
24,00df84280ed2625b,Red,JT,23.0,10.0,63.0,8.6
25,00e4eb2c47c14065,Blue,G2,13.0,2.0,35.0,24.0
26,00e4eb2c47c14065,Red,UOL,2.0,13.0,6.0,0.6153846153846154
27,010806395ccc936c,Blue,SKT,19.0,5.0,31.0,10.0
28,010806395ccc936c,Red,SSB,5.0,19.0,10.0,0.7894736842105263
29,011812adaddc83e0,Blue,FW,17.0,2.0,40.0,28.5
30,011812adaddc83e0,Red,XG,2.0,17.0,5.0,0.4117647058823529
31,01368b5ce8fcef87,Blue,IMT,14.0,10.0,30.0,4.4
32,01368b5ce8fcef87,Red,C9,10.0,14.0,30.0,2.857142857142857
33,01417eebd0d9ccb3,Blue,FNC,12.0,6.0,21.0,5.5
34,01417eebd0d9ccb3,Red,OG,6.0,12.0,8.0,1.1666666666666667
35,0156b7df31ad8a79,Blue,UOL,14.0,13.0,29.0,3.3076923076923075
36,0156b7df31ad8a79,Red,GIA,13.0,14.0,35.0,3.4285714285714284
37,016ac9c66c8ac080,Blue,FW,15.0,2.0,36.0,25.5
38,016ac9c66c8ac080,Red,SKT,2.0,15.0,2.0,0.26666666666666666
39,01a96409b7684abe,Blue,G2,16.0,1.0,30.0,46.0
40,01a96409b7684abe,Red,FW,1.0,16.0,2.0,0.1875
41,01aec9f5934783bc,Blue,FOX,14.0,5.0,29.0,8.6
42,01aec9f5934783bc,Red,TL,5.0,14.0,6.0,0.7857142857142857
43,01af899d3540b3e8,Blue,GET,2.0,16.0,5.0,0.4375
44,01af899d3540b3e8,Red,SKT,16.0,2.0,51.0,33.5
45,01b203061ba62154,Blue,FW,3.0,10.0,7.0,1.0
46,01b203061ba62154,Red,RNG,10.0,3.0,28.0,12.666666666666666
47,01b3f6da3669f2e0,Blue,kt,7.0,12.0,13.0,1.6666666666666667
48,01b3f6da3669f2e0,Red,LZ,12.0,7.0,29.0,5.857142857142857
49,01ba7b307c7b8202,Blue,CLG,2.0,13.0,8.0,0.7692307692307693
50,01ba7b307c7b8202,Red,C9,13.0,2.0,25.0,19.0
51,01cc9b6ed7a1399c,Blue,ROC,12.0,16.0,20.0,2.0
52,01cc9b6ed7a1399c,Red,H2K,16.0,12.0,32.0,4.0
53,01dd2d806162619a,Blue,SKT,12.0,2.0,22.0,17.0
54,01dd2d806162619a,Red,bbq,2.0,12.0,3.0,0.4166666666666667
55,01de05166befb130,Blue,NV,12.0,5.0,33.0,9.0
56,01de05166befb130,Red,APX,5.0,12.0,17.0,1.8333333333333333
57,01f5e2ea22b0aa6a,Blue,M17,1.0,19.0,2.0,0.15789473684210525
58,01f5e2ea22b0aa6a,Red,TPA,19.0,1.0,53.0,72.0
59,02026af18269d92c,Blue,SHR,14.0,5.0,28.0,8.4
60,02026af18269d92c,Red,TPA,5.0,14.0,10.0,1.0714285714285714
61,02028334d7d140fa,Blue,SKT,5.0,20.0,8.0,0.65
62,02028334d7d140fa,Red,ROX,20.0,5.0,41.0,12.2
63,0213115c2f20bacd,Blue,SUP,7.0,22.0,17.0,1.0909090909090908
64,0213115c2f20bacd,Red,SKT,22.0,7.0,49.0,10.142857142857142
65,0217774f5fcfd38c,Blue,MSE,6.0,16.0,21.0,1.6875
66,0217774f5fcfd38c,Red,ahq,16.0,6.0,35.0,8.5
67,0222a96c1bc9a892,Blue,G2,12.0,2.0,34.0,23.0
68,0222a96c1bc9a892,Red,FNC,2.0,12.0,8.0,0.8333333333333334
69,0229872b393c3da5,Blue,JAG,10.0,3.0,23.0,11.0
70,0229872b393c3da5,Red,kt,3.0,10.0,11.0,1.4
71,0249b915baf404f2,Blue,ahq,20.0,9.0,43.0,7.0
72,0249b915baf404f2,Red,CGE,9.0,20.0,19.0,1.4
73,0252d1b630f3bb39,Blue,IMT,8.0,17.0,20.0,1.6470588235294117
74,0252d1b630f3bb39,Red,TSM,17.0,8.0,55.0,9.0
75,028b7ab92a345cf5,Blue,SPY,4.0,14.0,10.0,1.0
76,028b7ab92a345cf5,Red,FNC,14.0,4.0,32.0,11.5
77,02a02ea44b0b14c5,Blue,IMT,18.0,12.0,46.0,5.333333333333333
78,02a02ea44b0b14c5,Red,TL,12.0,18.0,26.0,2.111111111111111
79,02a3e78ea1ea6e23,Blue,AFs,13.0,4.0,39.0,13.0
80,02a3e78ea1ea6e23,Red,MVP,4.0,13.0,10.0,1.0769230769230769
81,02a54b0f61a8af09,Blue,FOX,9.0,15.0,15.0,1.6
82,02a54b0f61a8af09,Red,APX,15.0,9.0,38.0,5.888888888888889
83,02acb71d99b67bd7,Blue,G2,19.0,5.0,27.0,9.2
84,02acb71d99b67bd7,Red,UOL,5.0,19.0,5.0,0.5263157894736842
85,02b9060a6ab61fc5,Blue,C9,20.0,10.0,48.0,6.8
86,02b9060a6ab61fc5,Red,NME,10.0,20.0,22.0,1.6
87,02bb50cd9654cf5d,Blue,ITZ,8.0,9.0,13.0,2.3333333333333335
88,02bb50cd9654cf5d,Red,CNB,9.0,8.0,23.0,4.0
89,02cc26d22aee2848,Blue,kt,18.0,8.0,48.0,8.25
90,02cc26d22aee2848,Red,KDM,8.0,18.0,19.0,1.5
91,02da363c63f11c8c,Blue,NRG,11.0,20.0,24.0,1.75
92,02da363c63f11c8c,Red,IMT,20.0,11.0,40.0,5.454545454545454
93,02e4fa0156c319e6,Blue,KOO,6.0,23.0,20.0,1.1304347826086956
94,02e4fa0156c319e6,Red,NJF,23.0,6.0,59.0,13.666666666666666
95,02fe6775b364438e,Blue,OPK,11.0,11.0,21.0,2.909090909090909
96,02fe6775b364438e,Red,ITZ,11.0,11.0,23.0,3.090909090909091
97,030bab19effe717c,Blue,SSG,8.0,16.0,18.0,1.625
98,030bab19effe717c,Red,SKT,16.0,8.0,43.0,7.375
99,0310e0364acebf89,Blue,AFs,15.0,20.0,46.0,3.05
100,0310e0364acebf89,Red,ESC,20.0,15.0,59.0,5.266666666666667
101,032033cddc7b870b,Blue,g3x,7.0,18.0,6.0,0.7222222222222222
102,032033cddc7b870b,Red,CNB,18.0,7.0,43.0,8.714285714285714
103,032ec6732c142a08,Blue,AFs,13.0,4.0,24.0,9.25
104,032ec6732c142a08,Red,SSG,4.0,13.0,9.0,1.0
105,03336bc5758a759d,Blue,GAM,16.0,15.0,34.0,3.3333333333333335
106,03336bc5758a759d,Red,TSM,15.0,16.0,41.0,3.5
107,035f73b1b70fb706,Blue,WFX,20.0,20.0,56.0,3.8
108,035f73b1b70fb706,Red,TSM,20.0,20.0,41.0,3.05
109,0364e2e542b777a4,Blue,DIG,17.0,6.0,44.0,10.166666666666666
110,0364e2e542b777a4,Red,NME,6.0,17.0,16.0,1.2941176470588236
111,036c385c6932f9df,Blue,TM,6.0,17.0,19.0,1.4705882352941178
112,036c385c6932f9df,Red,ahq,17.0,6.0,43.0,10.0
113,036e6cef9568efd8,Blue,SKT,9.0,21.0,21.0,1.4285714285714286
114,036e6cef9568efd8,Red,CJE,21.0,9.0,60.0,9.0
115,037bf9c7473334ac,Blue,TSM,17.0,8.0,37.0,6.75
116,037bf9c7473334ac,Red,TIP,8.0,17.0,23.0,1.8235294117647058
117,038de38887156e3a,Blue,TL,24.0,18.0,53.0,4.277777777777778
118,038de38887156e3a,Red,NV,18.0,24.0,31.0,2.0416666666666665
119,03ce6fcebc623234,Blue,LOG,22.0,28.0,44.0,2.357142857142857
120,03ce6fcebc623234,Red,NGU,28.0,22.0,60.0,4.0
121,03d24db4e9f84a1e,Blue,CGE,2.0,23.0,5.0,0.30434782608695654
122,03d24db4e9f84a1e,Red,FW,23.0,2.0,52.0,37.5
123,03d50976ba570b35,Blue,AFs,16.0,5.0,38.0,10.8
124,03d50976ba570b35,Red,SKT,5.0,16.0,4.0,0.5625
125,03d53124a83de518,Blue,CLG,24.0,19.0,60.0,4.421052631578948
126,03d53124a83de518,Red,TL,19.0,24.0,47.0,2.75
127,03e63541154cbf11,Blue,TSM,11.0,6.0,25.0,6.0
128,03e63541154cbf11,Red,FOX,6.0,11.0,21.0,2.4545454545454546
129,03e84bb32f2423fc,Blue,TL,19.0,15.0,44.0,4.2
130,03e84bb32f2423fc,Red,FLY,15.0,19.0,27.0,2.210526315789474
131,0418fe2b0ce96318,Blue,SSG,16.0,8.0,26.0,5.25
