,Match_ID,TeamColor,killing_team,kills_sum,assist_sum
0,001a1f289e3bab22,Blue,ANC,10,30
1,001a1f289e3bab22,Red,CJE,23,68
2,001f50c8547e2e73,Blue,EDG,28,70
3,001f50c8547e2e73,Red,AHQ,10,26
4,002f613ae09ad421,Blue,TPA,13,36
5,003aefd58000cbd6,Blue,JAG,7,12
6,003aefd58000cbd6,Red,LZ,14,26
7,003dba1358cd918a,Blue,EL,11,52
8,003dba1358cd918a,Red,ROC,2,8
9,005a9b7b25ee9ac5,Blue,C9,14,60
10,005a9b7b25ee9ac5,Red,NRG,3,12
11,0073b31255641f6c,Blue,H2K,11,50
12,0073b31255641f6c,Red,FNC,7,26
13,0076dde983f72733,Blue,C9,4,2
14,0076dde983f72733,Red,TSM,23,50
15,00986b51908a63c3,Blue,SKT,24,68
16,00986b51908a63c3,Red,JAG,21,68
17,00a7858e986c8d87,Blue,T8,16,36
18,00a7858e986c8d87,Red,CST,14,48
19,00bad4da4d94bdbf,Blue,CLG,19,70
20,00bad4da4d94bdbf,Red,NME,15,46
21,00c7bcac9e02c63a,Blue,OG,20,50
22,00c7bcac9e02c63a,Red,H2K,6,6
23,00df84280ed2625b,Blue,HKE,10,24
24,00df84280ed2625b,Red,JT,23,82
25,00e4eb2c47c14065,Blue,G2,13,44
26,00e4eb2c47c14065,Red,UOL,2,8
27,010806395ccc936c,Blue,SKT,19,34
28,010806395ccc936c,Red,SSB,5,10
29,011812adaddc83e0,Blue,FW,17,50
30,011812adaddc83e0,Red,XG,2,6
31,01368b5ce8fcef87,Blue,IMT,14,34
32,01368b5ce8fcef87,Red,C9,10,40
33,01417eebd0d9ccb3,Blue,FNC,12,22
34,01417eebd0d9ccb3,Red,OG,6,8
35,0156b7df31ad8a79,Blue,UOL,14,30
36,0156b7df31ad8a79,Red,GIA,13,44
37,016ac9c66c8ac080,Blue,FW,15,42
38,016ac9c66c8ac080,Red,SKT,2,0
39,01a96409b7684abe,Blue,G2,16,28
40,01a96409b7684abe,Red,FW,1,2
41,01aec9f5934783bc,Blue,FOX,14,30
42,01aec9f5934783bc,Red,TL,5,2
43,01af899d3540b3e8,Blue,GET,2,6
44,01af899d3540b3e8,Red,SKT,16,70
45,01b203061ba62154,Blue,FW,3,8
46,01b203061ba62154,Red,RNG,10,36
47,01b3f6da3669f2e0,Blue,kt,7,12
48,01b3f6da3669f2e0,Red,LZ,12,34
49,01ba7b307c7b8202,Blue,CLG,2,12
50,01ba7b307c7b8202,Red,C9,13,28
51,01cc9b6ed7a1399c,Blue,ROC,12,22
52,01cc9b6ed7a1399c,Red,H2K,16,32
53,01dd2d806162619a,Blue,SKT,12,20
54,01dd2d806162619a,Red,bbq,2,4
55,01de05166befb130,Blue,NV,12,42
56,01de05166befb130,Red,APX,5,24
57,01f5e2ea22b0aa6a,Blue,M17,1,2
58,01f5e2ea22b0aa6a,Red,TPA,19,70
59,02026af18269d92c,Blue,SHR,14,32
60,02026af18269d92c,Red,TPA,5,12
61,02028334d7d140fa,Blue,SKT,5,6
62,02028334d7d140fa,Red,ROX,20,46
63,0213115c2f20bacd,Blue,SUP,7,20
64,0213115c2f20bacd,Red,SKT,22,56
65,0217774f5fcfd38c,Blue,MSE,6,30
66,0217774f5fcfd38c,Red,ahq,16,38
67,0222a96c1bc9a892,Blue,G2,12,44
68,0222a96c1bc9a892,Red,FNC,2,12
69,0229872b393c3da5,Blue,JAG,10,28
70,0229872b393c3da5,Red,kt,3,16
71,0249b915baf404f2,Blue,ahq,20,50
72,0249b915baf404f2,Red,CGE,9,22
73,0252d1b630f3bb39,Blue,IMT,8,24
74,0252d1b630f3bb39,Red,TSM,17,76
75,028b7ab92a345cf5,Blue,SPY,4,12
76,028b7ab92a345cf5,Red,FNC,14,38
77,02a02ea44b0b14c5,Blue,IMT,18,58
78,02a02ea44b0b14c5,Red,TL,12,28
79,02a3e78ea1ea6e23,Blue,AFs,13,52
80,02a3e78ea1ea6e23,Red,MVP,4,12
81,02a54b0f61a8af09,Blue,FOX,9,14
82,02a54b0f61a8af09,Red,APX,15,48
83,02acb71d99b67bd7,Blue,G2,19,22
84,02acb71d99b67bd7,Red,UOL,5,2
85,02b9060a6ab61fc5,Blue,C9,20,58
86,02b9060a6ab61fc5,Red,NME,10,24
87,02bb50cd9654cf5d,Blue,ITZ,8,14
88,02bb50cd9654cf5d,Red,CNB,9,28
89,02cc26d22aee2848,Blue,kt,18,62
90,02cc26d22aee2848,Red,KDM,8,22
91,02da363c63f11c8c,Blue,NRG,11,26
92,02da363c63f11c8c,Red,IMT,20,46
93,02e4fa0156c319e6,Blue,KOO,6,28
94,02e4fa0156c319e6,Red,NJF,23,76
95,02fe6775b364438e,Blue,OPK,11,22
96,02fe6775b364438e,Red,ITZ,11,28
97,030bab19effe717c,Blue,SSG,8,24
98,030bab19effe717c,Red,SKT,16,54
99,0310e0364acebf89,Blue,AFs,15,62
100,0310e0364acebf89,Red,ESC,20,80
101,032033cddc7b870b,Blue,g3x,7,4
102,032033cddc7b870b,Red,CNB,18,52
103,032ec6732c142a08,Blue,AFs,13,26
104,032ec6732c142a08,Red,SSG,4,10
105,03336bc5758a759d,Blue,GAM,16,42
106,03336bc5758a759d,Red,TSM,15,56
107,035f73b1b70fb706,Blue,WFX,20,72
108,035f73b1b70fb706,Red,TSM,20,48
109,0364e2e542b777a4,Blue,DIG,17,54
110,0364e2e542b777a4,Red,NME,6,22
111,036c385c6932f9df,Blue,TM,6,26
112,036c385c6932f9df,Red,ahq,17,56
113,036e6cef9568efd8,Blue,SKT,9,24
114,036e6cef9568efd8,Red,CJE,21,78
115,037bf9c7473334ac,Blue,TSM,17,48
116,037bf9c7473334ac,Red,TIP,8,32
117,038de38887156e3a,Blue,TL,24,64
118,038de38887156e3a,Red,NV,18,30
119,03ce6fcebc623234,Blue,LOG,22,46
120,03ce6fcebc623234,Red,NGU,28,66
121,03d24db4e9f84a1e,Blue,CGE,2,6
122,03d24db4e9f84a1e,Red,FW,23,66
123,03d50976ba570b35,Blue,AFs,16,46
124,03d50976ba570b35,Red,SKT,5,2
125,03d53124a83de518,Blue,CLG,24,74
126,03d53124a83de518,Red,TL,19,56
127,03e63541154cbf11,Blue,TSM,11,30
128,03e63541154cbf11,Red,FOX,6,30
129,03e84bb32f2423fc,Blue,TL,19,56
130,03e84bb32f2423fc,Red,FLY,15,30
131,0418fe2b0ce96318,Blue,SSG,16,32
132,0418fe2b0ce96318,Blue,TooEarly,0,0
133,0418fe2b0ce96318,Red,JAG,8,26
134,0418fe2b0ce96318,Red,TooEarly,0,0
135,042ec83d7a8f88aa,Blue,IM,5,10
136,042ec83d7a8f88aa,Red,NJE,15,42
137,0448c97e526ab0f7,Blue,KDM,5,2
138,0448c97e526ab0f7,Red,ROX,20,62
139,0456e04690de8c6f,Blue,FNC,24,58
140,0456e04690de8c6f,Red,AHQ,23,54
141,0461de71f9989ba7,Blue,NV,5,14
142,0461de71f9989ba7,Red,C9,14,54
143,0464ba4b2048d781,Blue,MVP,17,60
144,0464ba4b2048d781,Red,JAG,5,14
145,048402ddf75bef64,Blue,UOL,16,82
146,048402ddf75bef64,Red,FNC,2,2
147,048cce3454866c45,Blue,UOL,11,28
148,048cce3454866c45,Red,GMB,28,70
149,04913800614ff1ac,Blue,SSG,18,62
150,04913800614ff1ac,Red,AFs,6,18
151,049ca2add45db410,Blue,kt,1,4
152,049ca2add45db410,Red,SKT,12,50
153,04a408ebb33a317c,Blue,SKT,7,32
154,04a408ebb33a317c,Red,kt,23,94
155,04ad96cea3acd7df,Blue,CJE,7,20
156,04ad96cea3acd7df,Red,SSG,13,56
157,04d6388306d1e785,Blue,S04,15,64
158,04d6388306d1e785,Red,G2,16,44
159,04e095c64c5769b7,Blue,M17,4,18
160,04e095c64c5769b7,Red,JT,11,44
161,04ecdf312cd55f6b,Blue,AS,6,18
162,04ecdf312cd55f6b,Red,FW,12,12
163,04f29577b8665371,Blue,CNB,16,60
164,04f29577b8665371,Red,KBM,6,20
165,04f2f07b3f7a9d83,Blue,WS,11,26
166,04f2f07b3f7a9d83,Red,JT,22,68
167,05054169c81539b4,Blue,OG,6,16
168,05054169c81539b4,Red,FNC,19,52
169,05418d865b63dd88,Blue,SPY,4,6
170,05418d865b63dd88,Red,MSF,20,48
171,0543b77fdf55e52e,Blue,C9,17,48
172,0543b77fdf55e52e,Red,DIG,20,54
173,055172ab7f1efc4c,Blue,UOL,20,104
174,055172ab7f1efc4c,Red,EL,15,60
175,055b17da8456fdc8,Blue,CST,10,26
176,055b17da8456fdc8,Red,DIG,9,28
177,0565660d8b72d749,Blue,RED,12,50
178,0565660d8b72d749,Red,PNG,9,18
179,057fcb4968b25e0f,Blue,SKT,21,52
180,057fcb4968b25e0f,Red,ANC,3,14
181,0590ddde97cb82d0,Blue,NV,10,12
182,0590ddde97cb82d0,Red,CLG,21,62
183,05abd4c334651b0d,Blue,KOO,17,48
184,05abd4c334651b0d,Red,KT,6,14
185,05e2c8eaa9547ff1,Blue,FLY,5,10
186,05e2c8eaa9547ff1,Red,P1,26,72
187,05e7ce7165b3a533,Blue,SSG,13,24
188,05e7ce7165b3a533,Red,MVP,6,8
189,060673f2d5b5fa1c,Blue,VFK,6,28
190,060673f2d5b5fa1c,Red,CNB,15,56
191,06368b209802df9f,Blue,TL,23,82
192,06368b209802df9f,Red,C9,8,20
193,063f88396ebefd89,Blue,H2K,13,28
194,063f88396ebefd89,Red,CW,29,64
195,064626c82d297ff8,Blue,XG,3,4
196,064626c82d297ff8,Red,JT,17,54
197,065c380f65fa59d2,Blue,SKT,10,50
198,065c380f65fa59d2,Red,FW,6,10
199,068ca292c82f4758,Blue,IMT,20,56
200,068ca292c82f4758,Red,CLG,4,10
201,06b32933bc151a38,Blue,TM,7,26
202,06b32933bc151a38,Red,XG,13,58
203,06b4c4cd5e4b5f33,Blue,JAG,6,18
204,06b4c4cd5e4b5f33,Red,NJE,1,0
205,06bb5d69b6d46051,Blue,ROX,20,52
206,06bb5d69b6d46051,Red,CJE,4,8
207,06c1db9af13bdc0a,Blue,OG,6,16
208,06c1db9af13bdc0a,Red,UOL,21,74
209,06db1353b32f6f1f,Blue,BKT,4,20
210,06db1353b32f6f1f,Red,H2K,21,70
211,06f228fd93d5add5,Blue,H2K,11,42
212,06f228fd93d5add5,Red,FNC,1,6
213,06f7ed66c4a2ebfd,Blue,CJE,13,40
214,06f7ed66c4a2ebfd,Red,ROX,18,44
215,0703355279ad76bd,Blue,TooEarly,0,0
216,0703355279ad76bd,Blue,VIT,11,44
217,0703355279ad76bd,Red,OG,13,22
218,0716f9e3d5c1c5fe,Blue,ROC,6,8
219,0716f9e3d5c1c5fe,Red,H2K,15,50
220,0719d075fd39f3dc,Blue,MSE,26,74
221,0719d075fd39f3dc,Red,LOG,41,122
222,072c2b0bc489d7e3,Blue,SPY,10,26
223,072c2b0bc489d7e3,Red,VIT,6,18
224,0732428e8e182fc4,Blue,P1,10,30
225,0732428e8e182fc4,Red,NRG,5,16
226,073bec0dc2b00865,Blue,kt,13,40
227,073bec0dc2b00865,Red,AFs,9,28
228,074aad5bf8271db7,Blue,UOL,18,42
229,074aad5bf8271db7,Red,MYM,23,62
230,076cf8f090de1f98,Blue,REN,14,30
231,076cf8f090de1f98,Red,C9,10,32
232,078b0ea503a36fee,Blue,OG,8,10
233,078b0ea503a36fee,Red,G2,17,46
234,07a2d5c57b595301,Blue,CW,4,6
235,07a2d5c57b595301,Red,FNC,22,54
236,07acc2f179e16e5a,Blue,CLG,14,46
237,07acc2f179e16e5a,Red,FLY,8,36
238,07bfc90bea44abdf,Blue,SSG,24,62
239,07bfc90bea44abdf,Red,SPY,14,20
240,07dd7f478849248b,Blue,IMT,10,14
241,07dd7f478849248b,Red,C9,25,54
242,07f89ba08ad1f2b3,Blue,GV,4,22
243,07f89ba08ad1f2b3,Red,CLG,11,44
244,0877aa19eb0decf8,Blue,OG,27,90
245,0877aa19eb0decf8,Red,UOL,17,38
246,08834a307e2499fd,Blue,DP,6,6
247,08834a307e2499fd,Red,EDG,26,78
248,088793e961a98ba3,Blue,SKT,18,20
249,088793e961a98ba3,Red,MVP,6,10
250,08cace00c3aec3f2,Blue,AFs,8,18
251,08cace00c3aec3f2,Red,ROX,23,54
252,08e695ce409fc198,Blue,SSB,7,16
253,08e695ce409fc198,Red,kt,17,56
254,08e7331c24396957,Blue,HKE,10,36
255,08e7331c24396957,Red,ahq,25,64
256,08f3ce8ac9cbd0a0,Blue,APX,25,82
257,08f3ce8ac9cbd0a0,Red,TL,13,54
258,090fc77d706e30cc,Blue,kt,20,84
259,090fc77d706e30cc,Red,ANC,1,4
260,091c862c58b4fc5d,Blue,JAG,8,24
261,091c862c58b4fc5d,Red,ROX,11,28
262,091e9cf7f58de3b1,Blue,ROC,17,60
263,091e9cf7f58de3b1,Red,H2K,10,38
264,092fbdd0935158ba,Blue,KBM,6,20
265,092fbdd0935158ba,Red,PNG,13,36
266,0949493e4b1d2840,Blue,TSM,11,32
